| LVL | Item ✋                 | Efekt                   |            +0 |            +1 |            +2 |            +3 |            +4 |            +5 |            +6 |            +7 |            +8 |            +9 |           +10 |
| --: | ---------------------- | ----------------------- | ------------: | ------------: | ------------: | ------------: | ------------: | ------------: | ------------: | ------------: | ------------: | ------------: | ------------: |
|   1 | Spracowane Rękawice    | Speed zbioru            |         1.00% |         1.15% |         1.30% |         1.45% |         1.60% |         1.75% |         1.90% |         2.05% |         2.20% |         2.35% |         2.50% |
|   2 | Rękawice Siewcy        | Speed sadzenia          |         1.00% |         1.15% |         1.30% |         1.45% |         1.60% |         1.75% |         1.90% |         2.05% |         2.20% |         2.35% |         2.50% |
|   3 | Rękawice Rolnika       | Speed zbioru            |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|   4 | Grabie Ogrodnika       | Speed upraw             |         1.00% |         1.15% |         1.30% |         1.45% |         1.60% |         1.75% |         1.90% |         2.05% |         2.20% |         2.35% |         2.50% |
|   5 | Rękawice Ziemi         | Efekt kompostu          |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|   6 | Łopata Polowa          | Speed sadzenia          |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|   7 | Rękawice Urodzaju      | Extra harvest           |         1.00% |         1.15% |         1.30% |         1.45% |         1.60% |         1.75% |         1.90% |         2.05% |         2.20% |         2.35% |         2.50% |
|   8 | Kosz Zbieracza         | Speed zbioru            |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|   9 | Motyka Rolna           | Speed upraw             |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|  10 | Sekator Sadu           | Speed drzew             |         3.00% |         3.45% |         3.90% |         4.35% |         4.80% |         5.25% |         5.70% |         6.15% |         6.60% |         7.05% |         7.50% |
|  11 | Rękawice Farmera       | EXP z upraw             |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|  12 | Rękawice Zbiorów       | Extra harvest           |         1.00% |         1.15% |         1.30% |         1.45% |         1.60% |         1.75% |         1.90% |         2.05% |         2.20% |         2.35% |         2.50% |
|  13 | Narzędzia Sadownika    | Speed drzew             |         4.00% |         4.60% |         5.20% |         5.80% |         6.40% |         7.00% |         7.60% |         8.20% |         8.80% |         9.40% |        10.00% |
|  14 | Rękawice Nawadniania   | Efekt wody              |         3.00% |         3.45% |         3.90% |         4.35% |         4.80% |         5.25% |         5.70% |         6.15% |         6.60% |         7.05% |         7.50% |
|  15 | Rękawice Hodowcy       | Reward zwierząt         |         3.00% |         3.45% |         3.90% |         4.35% |         4.80% |         5.25% |         5.70% |         6.15% |         6.60% |         7.05% |         7.50% |
|  16 | Srebrny Sekator        | Speed drzew             |         5.00% |         5.75% |         6.50% |         7.25% |         8.00% |         8.75% |         9.50% |        10.25% |        11.00% |        11.75% |        12.50% |
|  17 | Rękawice Plonów        | Extra harvest           |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|  18 | Widły Farmera          | EXP z upraw             |         4.00% |         4.60% |         5.20% |         5.80% |         6.40% |         7.00% |         7.60% |         8.20% |         8.80% |         9.40% |        10.00% |
|  19 | Narzędzia Mistrza      | Speed zbioru            |         3.00% |         3.45% |         3.90% |         4.35% |         4.80% |         5.25% |         5.70% |         6.15% |         6.60% |         7.05% |         7.50% |
|  20 | Rękawice Pszczelarza   | Mniejsze zużycie stroju |        20.00% |        23.00% |        26.00% |        29.00% |        32.00% |        35.00% |        38.00% |        41.00% |        44.00% |        47.00% |        50.00% |
|  21 | Motyka Obfitości       | Extra harvest           |         2.00% |         2.30% |         2.60% |         2.90% |         3.20% |         3.50% |         3.80% |         4.10% |         4.40% |         4.70% |         5.00% |
|  22 | Rękawice Żniwiarza     | Speed zbioru            |         4.00% |         4.60% |         5.20% |         5.80% |         6.40% |         7.00% |         7.60% |         8.20% |         8.80% |         9.40% |        10.00% |
|  23 | Sekator Premium        | Speed drzew             |         6.00% |         6.90% |         7.80% |         8.70% |         9.60% |        10.50% |        11.40% |        12.30% |        13.20% |        14.10% |        15.00% |
|  24 | Rękawice Natury        | Speed upraw             |         3.00% |         3.45% |         3.90% |         4.35% |         4.80% |         5.25% |         5.70% |         6.15% |         6.60% |         7.05% |         7.50% |
|  25 | Mistyczne Dłonie Farmy | Speed + Extra harvest   | 3.00% / 2.00% | 3.45% / 2.30% | 3.90% / 2.60% | 4.35% / 2.90% | 4.80% / 3.20% | 5.25% / 3.50% | 5.70% / 3.80% | 6.15% / 4.10% | 6.60% / 4.40% | 7.05% / 4.70% | 7.50% / 5.00% |
