| column_name               | data_type                |
| ------------------------- | ------------------------ |
| id                        | uuid                     |
| login                     | USER-DEFINED             |
| email                     | USER-DEFINED             |
| level                     | integer                  |
| location                  | text                     |
| last_played_at            | timestamp with time zone |
| created_at                | timestamp with time zone |
| xp                        | integer                  |
| xp_to_next_level          | integer                  |
| money                     | numeric                  |
| current_map               | text                     |
| unlocked_plots            | jsonb                    |
| plot_crops                | jsonb                    |
| seed_inventory            | jsonb                    |
| avatar_skin               | integer                  |
| player_stats              | jsonb                    |
| free_skill_points         | integer                  |
| prev_level                | integer                  |
| equipment_slots           | integer                  |
| equipment                 | jsonb                    |
| username                  | text                     |
| guild_name                | text                     |
| missions_completed        | integer                  |
| blocked_users             | ARRAY                    |
| unlocked_epic_avatars     | ARRAY                    |
| hive_data                 | jsonb                    |
| last_customer_spawn_at    | timestamp with time zone |
| barn_items                | jsonb                    |
| fruit_inventory           | jsonb                    |
| plot_obstacles            | jsonb                    |
| farm_power                | integer                  |
| orchard_state             | jsonb                    |
| barn_state                | jsonb                    |
| market_earned_today       | numeric                  |
| market_earned_date        | date                     |
| avatar_change_count       | integer                  |
| last_avatar_change_at     | bigint                   |
| role                      | text                     |
| customer_orders_completed | integer                  |
| tutorial_started          | boolean                  |
| tutorial_completed        | boolean                  |
| tutorial_skipped          | boolean                  |
| tutorial_step             | integer                  |
| lada_starter_given        | boolean                  |
| char_equipped             | jsonb                    |
| owned_eq_items            | jsonb                    |
| extra_eq_items            | jsonb                    |
| item_upg_registry         | jsonb                    |
